Potential (mV) / Current (µA)	testset1	testset2
288.19580099999996	-116.943	-286627.293
285.754395	-110.779	-271519.32899999997
283.312988	-105.53	-258654.02999999997
280.871582	-101.01299999999999	-247582.863
278.43017599999996	-96.8	-237256.79999999996
275.98877	-93.2	-228433.20000000004
273.547363	-89.8	-220099.80000000002
271.105957	-87.0	-213236.99999999997
268.66455099999996	-84.3	-206619.3
266.223145	-81.8	-200491.8
263.781738	-79.7	-195344.7
261.340332	-77.6	-190197.60000000003
258.898926	-75.7	-185540.7
256.45752	-74.0	-181374.0
254.016113	-72.3	-177207.3
251.574707	-70.9	-173775.90000000002
249.133301	-69.5	-170344.49999999997
246.691895	-68.1	-166913.1
244.250488	-66.9	-163971.9
241.809082	-65.79999999999998	-161275.79999999996
239.36767600000002	-64.8	-158824.8
236.92627	-63.800000000000004	-156373.8
234.484863	-62.8	-153922.79999999996
232.043457	-61.8	-151471.8
229.602051	-61.0	-149510.99999999997
227.160645	-60.3	-147795.3
224.719238	-59.49999999999999	-145834.5
222.277832	-58.8	-144118.8
219.836426	-58.2	-142648.20000000004
217.39502	-57.39999999999999	-140687.4
214.953613	-56.89999999999999	-139461.9
212.512207	-56.29999999999999	-137991.3
210.070801	-55.8	-136765.8
207.629395	-55.20000000000001	-135295.20000000004
205.187988	-54.7	-134069.7
202.746582	-54.29999999999999	-133089.3
200.305176	-53.79999999999999	-131863.80000000002
197.86377	-53.400000000000006	-130883.39999999998
195.422363	-53.0	-129902.99999999999
192.980957	-52.6	-128922.59999999999
190.539551	-52.2	-127942.20000000001
188.098145	-51.9	-127206.89999999998
185.656738	-51.6	-126471.60000000002
183.215332	-51.199999999999996	-125491.2
180.773926	-51.0	-125001.0
178.33252	-50.699999999999996	-124265.7
175.891113	-50.5	-123775.50000000001
173.449707	-50.2	-123040.2
171.008301	-49.9	-122304.9
168.566895	-49.70000000000001	-121814.7
166.125488	-49.6	-121569.60000000002
163.684082	-49.4	-121079.4
161.24267600000002	-49.2	-120589.20000000001
158.80127	-48.8	-119608.8
156.359863	-48.7	-119363.69999999998
153.918457	-48.5	-118873.5
151.477051	-48.4	-118628.39999999998
149.035645	-48.2	-118138.20000000001
146.594238	-48.1	-117893.1
144.152832	-48.0	-117648.0
141.711426	-47.9	-117402.90000000001
139.27002	-47.7	-116912.7
136.82861300000002	-47.60000000000001	-116667.6
134.387207	-47.49999999999999	-116422.49999999999
131.945801	-47.4	-116177.39999999998
129.504395	-47.4	-116177.39999999998
127.062988	-47.3	-115932.30000000002
124.621582	-47.2	-115687.2
122.18017599999999	-47.1	-115442.1
119.73877	-47.0	-115197.00000000001
117.297363	-47.0	-115197.00000000001
114.855957	-46.89999999999999	-114951.9
112.41455099999999	-46.8	-114706.8
109.973145	-46.7	-114461.7
107.531738	-46.7	-114461.7
105.090332	-46.6	-114216.60000000002
102.64892599999999	-46.50000000000001	-113971.49999999999
100.20752	-46.50000000000001	-113971.49999999999
97.766113	-46.4	-113726.4
